DateTime,Temperature,Humidity,CO2,pH,EC,"
"
2025-10-26 00:00:00.138720,23.251,62.637,646.846,4.618,1940.104,"
"
2025-10-26 00:01:00.107667,23.398,62.731,644.314,4.618,1935.764,"
"
2025-10-26 00:02:00.115993,23.694,62.634,644.314,4.619,1935.764,"
"
2025-10-26 00:03:00.114334,23.993,63.556,646.846,4.619,1938.657,"
"
2025-10-26 00:04:00.124907,23.989,63.249,646.774,4.618,1940.104,"
"
2025-10-26 00:05:00.122173,23.845,63.545,641.855,4.618,1940.104,"
"
2025-10-26 00:06:00.152597,23.845,63.824,644.314,4.619,1935.764,"
"
2025-10-26 00:07:00.132969,23.837,64.023,641.855,4.619,1940.104,"
"
2025-10-26 00:08:00.118819,23.845,64.128,641.855,4.619,1940.104,"
"
2025-10-26 00:09:00.125511,23.694,64.334,641.855,4.618,1940.104,"
"
2025-10-26 00:10:00.153066,23.694,64.540,639.685,4.618,1940.104,"
"
2025-10-26 00:11:00.149013,23.694,64.533,639.395,4.619,1940.104,"
"
2025-10-26 00:12:00.111980,23.776,64.641,639.395,4.619,1940.104,"
"
2025-10-26 00:13:00.110842,23.689,64.428,641.638,4.619,1940.104,"
"
2025-10-26 00:14:00.117817,23.546,63.925,636.936,4.619,1940.104,"
"
2025-10-26 00:15:00.910752,23.403,63.545,636.936,4.618,1940.104,"
"
2025-10-26 00:16:00.115462,23.398,63.621,634.476,4.618,1940.104,"
"
2025-10-26 00:17:00.116352,23.390,63.144,634.476,4.618,1940.104,"
"
2025-10-26 00:18:00.112291,23.251,63.144,632.017,4.619,1940.104,"
"
2025-10-26 00:19:00.121080,23.251,63.238,632.017,4.618,1940.104,"
"
2025-10-26 00:20:00.130713,23.251,63.241,632.017,4.618,1940.104,"
"
2025-10-26 00:21:00.116941,23.320,63.137,632.957,4.618,1940.104,"
"
2025-10-26 00:22:00.138749,23.251,62.225,632.161,4.619,1940.104,"
"
2025-10-26 00:23:00.152152,23.103,62.026,631.076,4.618,1940.104,"
"
2025-10-26 00:24:00.152411,23.103,61.925,629.557,4.589,1940.104,"
"
2025-10-26 00:25:00.151754,22.956,61.921,629.557,4.578,1940.104,"
"
2025-10-26 00:26:00.145282,22.951,61.715,629.557,4.558,1940.104,"
"
2025-10-26 00:27:00.128194,22.882,61.216,629.557,4.589,1940.104,"
"
2025-10-26 00:28:00.118574,22.808,60.634,629.557,4.608,1940.104,"
"
2025-10-26 00:29:00.110755,22.687,60.724,629.557,4.618,1940.104,"
"
2025-10-26 00:30:00.110699,22.730,60.522,629.557,4.618,1940.104,"
"
2025-10-26 00:31:00.120718,22.695,60.124,629.630,4.618,1940.104,"
"
